customer_id,first_name,last_name,email,phone,city,state,zip_code,full_name
1,Debra,Burks,debra.burks@yahoo.com,unknown,Orchard Park,Ny,14127,Debra Burks
2,Kasha,Todd,kasha.todd@yahoo.com,unknown,Campbell,Ca,95008,Kasha Todd
3,Tameka,Fisher,tameka.fisher@aol.com,unknown,Redondo Beach,Ca,90278,Tameka Fisher
4,Daryl,Spence,daryl.spence@aol.com,unknown,Uniondale,Ny,11553,Daryl Spence
5,Charolette,Rice,charolette.rice@msn.com,(916) 381-6003,Sacramento,Ca,95820,Charolette Rice
6,Lyndsey,Bean,lyndsey.bean@hotmail.com,unknown,Fairport,Ny,14450,Lyndsey Bean
7,Latasha,Hays,latasha.hays@hotmail.com,(716) 986-3359,Buffalo,Ny,14215,Latasha Hays
8,Jacquline,Duncan,jacquline.duncan@yahoo.com,unknown,Jackson Heights,Ny,11372,Jacquline Duncan
9,Genoveva,Baldwin,genoveva.baldwin@msn.com,unknown,Port Washington,Ny,11050,Genoveva Baldwin
10,Pamelia,Newman,pamelia.newman@gmail.com,unknown,Monroe,Ny,10950,Pamelia Newman
11,Deshawn,Mendoza,deshawn.mendoza@yahoo.com,unknown,Monsey,Ny,10952,Deshawn Mendoza
12,Robby,Sykes,robby.sykes@hotmail.com,(516) 583-7761,Hempstead,Ny,11550,Robby Sykes
13,Lashawn,Ortiz,lashawn.ortiz@msn.com,unknown,Longview,Tx,75604,Lashawn Ortiz
14,Garry,Espinoza,garry.espinoza@hotmail.com,unknown,Forney,Tx,75126,Garry Espinoza
15,Linnie,Branch,linnie.branch@gmail.com,unknown,Plattsburgh,Ny,12901,Linnie Branch
16,Emmitt,Sanchez,emmitt.sanchez@hotmail.com,(212) 945-8823,New York,Ny,10002,Emmitt Sanchez
17,Caren,Stephens,caren.stephens@msn.com,unknown,Scarsdale,Ny,10583,Caren Stephens
18,Georgetta,Hardin,georgetta.hardin@aol.com,unknown,Canandaigua,Ny,14424,Georgetta Hardin
19,Lizzette,Stein,lizzette.stein@yahoo.com,unknown,Orchard Park,Ny,14127,Lizzette Stein
20,Aleta,Shepard,aleta.shepard@aol.com,unknown,Sugar Land,Tx,77478,Aleta Shepard
21,Tobie,Little,tobie.little@gmail.com,unknown,Victoria,Tx,77904,Tobie Little
22,Adelle,Larsen,adelle.larsen@gmail.com,unknown,East Northport,Ny,11731,Adelle Larsen
23,Kaylee,English,kaylee.english@msn.com,unknown,Hollis,Ny,11423,Kaylee English
24,Corene,Wall,corene.wall@msn.com,unknown,Atwater,Ca,95301,Corene Wall
25,Regenia,Vaughan,regenia.vaughan@gmail.com,unknown,Mahopac,Ny,10541,Regenia Vaughan
26,Theo,Reese,theo.reese@gmail.com,(562) 215-2907,Long Beach,Ny,11561,Theo Reese
27,Santos,Valencia,santos.valencia@yahoo.com,unknown,Sunnyside,Ny,11104,Santos Valencia
28,Jeanice,Frost,jeanice.frost@hotmail.com,unknown,Ossining,Ny,10562,Jeanice Frost
29,Syreeta,Hendricks,syreeta.hendricks@msn.com,unknown,Mahopac,Ny,10541,Syreeta Hendricks
30,Jamaal,Albert,jamaal.albert@gmail.com,unknown,Torrance,Ca,90505,Jamaal Albert
31,Williemae,Holloway,williemae.holloway@msn.com,(510) 246-8375,Oakland,Ca,94603,Williemae Holloway
32,Araceli,Golden,araceli.golden@msn.com,unknown,Fullerton,Ca,92831,Araceli Golden
33,Deloris,Burke,deloris.burke@hotmail.com,unknown,Palos Verdes Peninsula,Ca,90274,Deloris Burke
