customer_id,first_name,last_name,phone,email,street,city,state,zip_code,extraction_timestamp,data_source
1,Debra,Burks,unknown,debra.burks@yahoo.com,9273 Thorne Ave. ,Orchard Park,Ny,14127,2026-04-03T20:36:26,DeltaLake
2,Kasha,Todd,unknown,kasha.todd@yahoo.com,910 Vine Street ,Campbell,Ca,95008,2026-04-03T20:36:26,DeltaLake
3,Tameka,Fisher,unknown,tameka.fisher@aol.com,769C Honey Creek St. ,Redondo Beach,Ca,90278,2026-04-03T20:36:26,DeltaLake
4,Daryl,Spence,unknown,daryl.spence@aol.com,988 Pearl Lane ,Uniondale,Ny,11553,2026-04-03T20:36:26,DeltaLake
5,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr. ,Sacramento,Ca,95820,2026-04-03T20:36:26,DeltaLake
6,Lyndsey,Bean,unknown,lyndsey.bean@hotmail.com,769 West Road ,Fairport,Ny,14450,2026-04-03T20:36:26,DeltaLake
7,Latasha,Hays,(716) 986-3359,latasha.hays@hotmail.com,7014 Manor Station Rd. ,Buffalo,Ny,14215,2026-04-03T20:36:26,DeltaLake
8,Jacquline,Duncan,unknown,jacquline.duncan@yahoo.com,15 Brown St. ,Jackson Heights,Ny,11372,2026-04-03T20:36:26,DeltaLake
9,Genoveva,Baldwin,unknown,genoveva.baldwin@msn.com,8550 Spruce Drive ,Port Washington,Ny,11050,2026-04-03T20:36:26,DeltaLake
10,Pamelia,Newman,unknown,pamelia.newman@gmail.com,476 Chestnut Ave. ,Monroe,Ny,10950,2026-04-03T20:36:26,DeltaLake
11,Deshawn,Mendoza,unknown,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,Monsey,Ny,10952,2026-04-03T20:36:26,DeltaLake
12,Robby,Sykes,(516) 583-7761,robby.sykes@hotmail.com,486 Rock Maple Street ,Hempstead,Ny,11550,2026-04-03T20:36:26,DeltaLake
13,Lashawn,Ortiz,unknown,lashawn.ortiz@msn.com,27 Washington Rd. ,Longview,Tx,75604,2026-04-03T20:36:26,DeltaLake
14,Garry,Espinoza,unknown,garry.espinoza@hotmail.com,7858 Rockaway Court ,Forney,Tx,75126,2026-04-03T20:36:26,DeltaLake
15,Linnie,Branch,unknown,linnie.branch@gmail.com,314 South Columbia Ave. ,Plattsburgh,Ny,12901,2026-04-03T20:36:26,DeltaLake
16,Emmitt,Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,461 Squaw Creek Road ,New York,Ny,10002,2026-04-03T20:36:26,DeltaLake
17,Caren,Stephens,unknown,caren.stephens@msn.com,914 Brook St. ,Scarsdale,Ny,10583,2026-04-03T20:36:26,DeltaLake
18,Georgetta,Hardin,unknown,georgetta.hardin@aol.com,474 Chapel Dr. ,Canandaigua,Ny,14424,2026-04-03T20:36:26,DeltaLake
19,Lizzette,Stein,unknown,lizzette.stein@yahoo.com,19 Green Hill Lane ,Orchard Park,Ny,14127,2026-04-03T20:36:26,DeltaLake
20,Aleta,Shepard,unknown,aleta.shepard@aol.com,684 Howard St. ,Sugar Land,Tx,77478,2026-04-03T20:36:26,DeltaLake
21,Tobie,Little,unknown,tobie.little@gmail.com,10 Silver Spear Dr. ,Victoria,Tx,77904,2026-04-03T20:36:26,DeltaLake
22,Adelle,Larsen,unknown,adelle.larsen@gmail.com,683 West Kirkland Dr. ,East Northport,Ny,11731,2026-04-03T20:36:26,DeltaLake
23,Kaylee,English,unknown,kaylee.english@msn.com,8786 Fulton Rd. ,Hollis,Ny,11423,2026-04-03T20:36:26,DeltaLake
24,Corene,Wall,unknown,corene.wall@msn.com,9601 Ocean Rd. ,Atwater,Ca,95301,2026-04-03T20:36:26,DeltaLake
25,Regenia,Vaughan,unknown,regenia.vaughan@gmail.com,44 Stonybrook Street ,Mahopac,Ny,10541,2026-04-03T20:36:26,DeltaLake
26,Theo,Reese,(562) 215-2907,theo.reese@gmail.com,8755 W. Wild Horse St. ,Long Beach,Ny,11561,2026-04-03T20:36:26,DeltaLake
27,Santos,Valencia,unknown,santos.valencia@yahoo.com,7479 Carpenter Street ,Sunnyside,Ny,11104,2026-04-03T20:36:26,DeltaLake
28,Jeanice,Frost,unknown,jeanice.frost@hotmail.com,76 Devon Lane ,Ossining,Ny,10562,2026-04-03T20:36:26,DeltaLake
29,Syreeta,Hendricks,unknown,syreeta.hendricks@msn.com,193 Spruce Road ,Mahopac,Ny,10541,2026-04-03T20:36:26,DeltaLake
30,Jamaal,Albert,unknown,jamaal.albert@gmail.com,853 Stonybrook Street ,Torrance,Ca,90505,2026-04-03T20:36:26,DeltaLake
31,Williemae,Holloway,(510) 246-8375,williemae.holloway@msn.com,69 Cypress St. ,Oakland,Ca,94603,2026-04-03T20:36:26,DeltaLake
32,Araceli,Golden,unknown,araceli.golden@msn.com,12 Ridgeview Ave. ,Fullerton,Ca,92831,2026-04-03T20:36:26,DeltaLake
33,Deloris,Burke,unknown,deloris.burke@hotmail.com,895 Edgemont Drive ,Palos Verdes Peninsula,Ca,90274,2026-04-03T20:36:26,DeltaLake
34,Brittney,Woodward,unknown,brittney.woodward@aol.com,960 River St. ,East Northport,Ny,11731,2026-04-03T20:36:26,DeltaLake
35,Guillermina,Noble,unknown,guillermina.noble@msn.com,6 Del Monte Lane ,Baldwinsville,Ny,13027,2026-04-03T20:36:26,DeltaLake
36,Bernita,Mcdaniel,unknown,bernita.mcdaniel@hotmail.com,2 Peg Shop Ave. ,Liverpool,Ny,13090,2026-04-03T20:36:26,DeltaLake
37,Melia,Brady,unknown,melia.brady@gmail.com,907 Shirley Rd. ,Maspeth,Ny,11378,2026-04-03T20:36:26,DeltaLake
38,Zelma,Browning,unknown,zelma.browning@aol.com,296 Second Street ,Astoria,Ny,11102,2026-04-03T20:36:26,DeltaLake
39,Janetta,Aguirre,(717) 670-2634,janetta.aguirre@aol.com,214 Second Court ,Lancaster,Ny,14086,2026-04-03T20:36:26,DeltaLake
40,Ronna,Butler,unknown,ronna.butler@gmail.com,9438 Plymouth Court ,Encino,Ca,91316,2026-04-03T20:36:26,DeltaLake
41,Kathie,Freeman,unknown,kathie.freeman@msn.com,667 Temple Dr. ,Queensbury,Ny,12804,2026-04-03T20:36:26,DeltaLake
42,Tangela,Quinn,unknown,tangela.quinn@aol.com,4 S. Purple Finch Road ,Richmond Hill,Ny,11418,2026-04-03T20:36:26,DeltaLake
43,Mozelle,Carter,(281) 489-9656,mozelle.carter@aol.com,895 Chestnut Ave. ,Houston,Tx,77016,2026-04-03T20:36:26,DeltaLake
44,Onita,Johns,unknown,onita.johns@msn.com,32 Glen Creek Lane ,Elmont,Ny,11003,2026-04-03T20:36:26,DeltaLake
45,Bennett,Armstrong,unknown,bennett.armstrong@aol.com,688 Walnut Street ,Bethpage,Ny,11714,2026-04-03T20:36:26,DeltaLake
46,Monika,Berg,unknown,monika.berg@gmail.com,369 Vernon Dr. ,Encino,Ca,91316,2026-04-03T20:36:26,DeltaLake
47,Bridgette,Guerra,unknown,bridgette.guerra@hotmail.com,9982 Manor Drive ,San Lorenzo,Ca,94580,2026-04-03T20:36:26,DeltaLake
48,Cesar,Jackson,unknown,cesar.jackson@gmail.com,8068 N. Griffin Ave. ,Liverpool,Ny,13090,2026-04-03T20:36:26,DeltaLake
49,Caroll,Hays,unknown,caroll.hays@yahoo.com,9381 Wrangler St. ,Fairport,Ny,14450,2026-04-03T20:36:26,DeltaLake
50,Cleotilde,Booth,unknown,cleotilde.booth@gmail.com,17 Corona St. ,Sugar Land,Tx,77478,2026-04-03T20:36:26,DeltaLake
